,Energy,Iterations,Dipole Moment,Eigens,Derivatives,Derivative Time,Wall Time
bicyclo[3.1.0]hexane,-234.73929477,22,0.0740112,"[-10.17120458, -10.1709348, -10.16515811, -10.16513671, -10.1650256, -10.16414937, -0.88148259, -0.7609849, -0.70669021, -0.62065103, -0.55457938, -0.54443046, -0.51248183, -0.46428922, -0.43683266, -0.40894885, -0.39556676, -0.35492925, -0.33908196, -0.33887452, -0.33053236, -0.28151916, -0.26963123]","[-0.000175, -0.003365, 0.0, 0.000933, 0.002221, 1e-06, 0.000125, -0.000463, -0.002417, 0.000125, -0.000462, 0.002416, -0.000203, 0.001858, 0.001118, -0.000204, 0.001858, -0.001118, -0.000683, 7.2e-05, 0.0, -7.5e-05, 0.001261, 0.0, 6.4e-05, -0.001068, 0.0, -0.000479, 0.000163, -0.0, 0.000603, -0.0004, -0.000446, 0.000603, -0.0004, 0.000446, -0.000195, -0.000316, 0.000895, -0.000195, -0.000316, -0.000895, -7.8e-05, -0.000298, -0.000304, -7.8e-05, -0.000298, 0.000304]",-1,546.5
phosphine,-343.19075296,10,0.2190978,"[-77.0528726, -6.5472236, -4.70811103, -4.70811061, -4.70442729, -0.64750258, -0.38815437, -0.38814991, -0.28216301]","[0.00136, 0.000111, 0.006849, -0.001125, -0.0, -0.000944, 0.000558, 0.00096, -0.000938, 0.000558, -0.00096, -0.000938]",-1,78.8
beryllium_sulfide,-412.9467171,14,2.108768,"[-88.80429282, -7.8868126, -5.8471407, -5.84538114, -5.84538078, -4.11044001, -0.64571134, -0.3087361, -0.24493468, -0.24493463]","[0.0, -1e-06, -0.002313, 0.0001, 3e-06, 0.001764]",-1,135.1
phosphorus_tribromide.mdns,-10000,0,-10000,"[]","[]",-1,-1
lithium_oxide,-82.73155406,11,2.555702,"[-19.06442712, -1.99690364, -0.83406233, -0.29888596, -0.25125797, -0.23684441]","[5e-06, 2.1e-05, -0.000546, 0.0, -1e-06, 0.000334]",-1,127.8
carbon_monoxide,-113.37014729,9,0.03345361,"[-19.2384227, -10.29713968, -1.17214025, -0.58451313, -0.48494155, -0.48494155, -0.38702705]","[-0.0, -0.0, -0.006235, -0.0, -0.0, 0.010137]",-1,49.4
magnesium_oxide,-275.29034047,15,2.956122,"[-46.82127556, -19.03913673, -3.12979303, -1.87386173, -1.87386158, -1.87193374, -0.79536916, -0.25070898, -0.21902447, -0.21902445]","[6.6e-05, -1e-06, -0.008633, -5e-06, -2e-05, 0.005965]",-1,111.8
aluminum_nitride,-297.10532443,16,1.147892,"[-56.05029437, -14.34681166, -4.15654604, -2.71048674, -2.70803804, -2.70755067, -0.76365242, -0.3697098, -0.31417465, -0.26957382, -0.2582527]","[-8.8e-05, -4.5e-05, -0.006649, -5e-06, 3e-06, 0.006713]",-1,305.5
imidogen,-55.24975115,11,0.5871185,"[-14.40383878, -0.85175062, -0.41491398, -0.34477611, -0.34477589]","[-2e-06, -9e-06, 0.00491, -1e-06, -2e-06, -0.006887]",-1,85.2
methyl_formate,-229.18265063,28,0.7591571,"[-19.19022176, -19.13094333, -10.31273647, -10.2373672, -1.1178862, -1.03140004, -0.74747423, -0.60799525, -0.54250529, -0.49593064, -0.48697541, -0.43408594, -0.40751681, -0.37896052, -0.32542529, -0.29957755]","[0.004382, 0.016715, 1e-06, -0.004275, -0.001098, 1e-06, -0.009625, -0.023871, -4e-06, 0.008994, 0.006932, -2e-06, 5.4e-05, 0.001903, 0.0, 0.001309, 0.001648, 0.0, -0.00054, -0.001189, 0.001837, -0.00054, -0.00119, -0.001837]",-1,374.4
hypochlorite,-535.39001734,15,0.5417893,"[-101.62135054, -19.22712332, -9.55112885, -7.31322074, -7.30974957, -7.30102069, -1.10535195, -0.80091908, -0.49871908, -0.49010777, -0.45572565, -0.33444999, -0.29763299]","[1.7e-05, -3e-06, 0.00287, -3e-06, -0.000133, 0.013154]",-1,419.0
methanol,-115.7879427,13,0.6589046,"[-19.12788886, -10.21821375, -1.02298652, -0.68765285, -0.51245837, -0.44588868, -0.43480002, -0.34381374, -0.28369202]","[0.002745, 0.007384, 3e-06, -0.003242, -0.009358, -2e-06, 0.006833, 0.003868, 0.0, -0.003159, -0.00213, 0.001885, -0.003159, -0.00213, -0.001885, 0.000373, 0.002702, 0.0]",-1,98.5
vinyl_fluoride,-177.91932089,13,0.5477321,"[-24.69385396, -10.26625687, -10.18221797, -1.23068475, -0.77769476, -0.6192288, -0.53748624, -0.49212346, -0.47047748, -0.4209112, -0.38586626, -0.27718183]","[0.009483, -0.005659, -1e-06, -0.014757, 0.00285, 0.0, -0.001749, -0.001653, 1.6e-05, 0.005065, -0.000306, -0.0, 0.002444, 0.004831, 0.0, -2.5e-05, 0.000528, -0.0]",-1,155.5
formaldehyde,-114.56350828,11,0.9450939,"[-19.15209811, -10.28085208, -1.07090236, -0.64385057, -0.50573805, -0.46322414, -0.412255, -0.28208122]","[0.0, -3.4e-05, 0.013009, -4e-06, -3e-06, -0.007244, -0.0, 0.002906, -0.001873, -0.0, -0.002906, -0.001872]",-1,66.9
sulfur_diatomic,-796.45801156,12,1.636458e-06,"[-88.90533728, -88.90533361, -7.98624347, -7.98603373, -5.94741582, -5.94741545, -5.94735123, -5.94735089, -5.9462668, -5.94540651, -0.84464352, -0.63645809, -0.40583583, -0.38255698, -0.38255698, -0.24953502, -0.24953501]","[-0.000329, 0.000505, -0.001546, -0.000142, -0.001017, 0.001557]",-1,489.1
acetaldehyde,-153.9111288,19,1.164412,"[-19.13401813, -10.27549424, -10.19088428, -1.04995472, -0.76374103, -0.59140276, -0.48792518, -0.4546822, -0.44522619, -0.40738208, -0.3737279, -0.27033524]","[0.022822, -0.016413, -6e-06, -0.020893, 0.014983, -3e-06, -0.002122, 0.003263, 0.0, -0.001309, 0.001289, -0.0, 0.001389, -0.001991, 0.0, -0.000828, -8e-05, 0.001568, -0.000828, -8e-05, -0.001568]",-1,167.3
boron_monosulfide,-423.02402538,14,0.3407088,"[-88.86075438, -7.94513641, -6.85310623, -5.90594548, -5.9032783, -5.90327815, -0.74433048, -0.43646163, -0.31188597, -0.31188595, -0.31113369]","[-1e-06, 0.0, -0.020536, 6.8e-05, 0.000185, -0.006389]",-1,310.2
beryllium_monofluoride,-114.67679925,10,0.4844026,"[-24.6596941, -4.08006714, -1.1674176, -0.4770367, -0.42921122, -0.4292112, -0.22631104]","[1e-06, -2e-06, -0.007051, 9e-06, 2.6e-05, -0.004311]",-1,134.9
phosphorus_tribromide,-8064.18174321,27,0.1639279,"[-482.80335182, -482.80331816, -482.80321237, -77.17969371, -62.47521479, -62.47496869, -62.47495425, -56.28648612, -56.28646582, -56.2864266, -56.28391731, -56.28387084, -56.28381386, -56.2837893, -56.28370296, -56.2836924, -8.71187353, -8.71155359, -8.71154273, -6.66221743, -6.53885803, -6.53876978, -6.53873436, -6.53128983, -6.53080819, -6.53066566, -6.53047166, -6.53028375, -6.5298535, -4.82341996, -4.82340392, -4.81955537, -2.65418846, -2.65409496, -2.65337503, -2.6522364, -2.65178554, -2.65153742, -2.65116596, -2.65096829, -2.6508983, -2.64523411, -2.64486579, -2.64484023, -2.6445707, -2.64453783, -2.64423533, -0.85215869, -0.79566162, -0.79558842, -0.60494773, -0.43027954, -0.43026284, -0.39161494, -0.34170205, -0.34166555, -0.31186036, -0.31183407, -0.30239707, -0.28287307]","[]",-1,-1
sulfur_dioxide,-548.75231036,15,0.6549868,"[-89.03421662, -19.1917575, -19.19175061, -8.09773817, -6.06155002, -6.05844653, -6.05529874, -1.15798113, -1.06549017, -0.64460365, -0.50590821, -0.50465569, -0.50338928, -0.39021698, -0.37529828, -0.34644804]","[-0.000185, -5e-06, 0.001418, -5e-06, -0.001469, -0.001339, 5e-06, 0.001469, -0.001339]",-1,275.4
methanethiol_radical,-438.12508076,13,0.67006,"[-88.86703075, -10.20866156, -7.94816106, -5.91783887, -5.90800449, -5.90019354, -0.78933227, -0.6359005, -0.4503415, -0.44389084, -0.37726756, -0.28800322, -0.24843184]","[0.008537, -0.000668, -0.002527, -0.003005, 0.000545, 0.00429, -0.001902, 0.00019, 0.001814, -0.001728, 0.001231, -0.001817, -0.001807, -0.000942, -0.001685]",-1,348.1
hydroxyl_radical,-75.77589697,11,0.6436566,"[-19.21293663, -1.03125851, -0.49188066, -0.42925488, -0.35953907]","[2.9e-05, 7e-06, 0.006589, -1e-06, 1e-06, -0.005789]",-1,98.0
