,Energy,Iterations,Dipole Moment,Eigens,Derivatives,Derivative Time,Wall Time
bicyclo[3.1.0]hexane,-233.09564036,11,0.07150458,"[-11.21862081, -11.21790131, -11.21365491, -11.21353494, -11.21336469, -11.21205443, -1.17030622, -1.02206254, -0.95705401, -0.84418314, -0.75682162, -0.74620415, -0.68578131, -0.62864536, -0.59068427, -0.5613844, -0.54579557, -0.49436683, -0.47569313, -0.46949824, -0.46344502, -0.39944502, -0.38477384]","[-0.002459, -0.005212, -8e-06, 0.002428, 0.000364, 2e-06, 0.000447, -0.002469, -0.005357, 0.000448, -0.00247, 0.005362, -0.000183, 0.005476, 0.007183, -0.000185, 0.005477, -0.007182, -0.000516, -0.005404, 0.0, 0.005113, 0.004422, -0.0, 0.005395, -0.00192, 0.0, -0.001199, 0.005178, -0.0, 0.003759, -5.1e-05, 0.003737, 0.003759, -5.1e-05, -0.003737, -0.004723, 0.001813, -0.000468, -0.004723, 0.001813, 0.000468, -0.003952, -0.003646, 0.002407, -0.003952, -0.003646, -0.002407]",-1,289.5
phosphine,-342.49455463,11,0.2574204,"[-79.94456112, -7.48709643, -5.38077761, -5.38077541, -5.38017239, -0.85327441, -0.52050853, -0.52050648, -0.38889465]","[0.001207, -0.000139, 0.018049, -0.003917, -0.0, -0.006241, 0.001956, 0.003381, -0.006232, 0.001956, -0.003381, -0.006232]",-1,79.0
beryllium_sulfide,-412.14765026,12,2.54303,"[-91.89318029, -8.89559496, -6.5764473, -6.57552799, -6.57552772, -4.767655, -0.85869749, -0.41628905, -0.33636084, -0.3363608]","[-0.0, -0.0, -0.010731, 0.000208, -4.4e-05, 0.005671]",-1,105.9
lithium_oxide,-82.31847059,11,2.687205,"[-20.47020215, -2.43870147, -1.17651087, -0.49789992, -0.42732756, -0.40479541]","[1e-06, -4e-06, -0.003394, -0.0, 1e-06, 0.003188]",-1,62.2
carbon_monoxide,-112.79088889,10,0.1028736,"[-20.66491083, -11.36009127, -1.52155464, -0.80474952, -0.64039523, -0.64039521, -0.55488892]","[-0.0, 0.0, -0.071178, 0.0, -0.0, 0.072424]",-1,39.7
magnesium_oxide,-274.38999142,18,3.601362,"[-49.05250456, -20.43865576, -3.79120106, -2.30911735, -2.30911708, -2.30681729, -1.08058318, -0.35204019, -0.35203947, -0.32139944]","[7e-06, -2.7e-05, -0.016241, 3e-06, 1.2e-05, 0.015445]",-1,98.1
aluminum_nitride,-296.30781475,24,0.5797876,"[-58.50149719, -15.60488297, -4.91216756, -3.22652581, -3.22144048, -3.21929484, -1.11463743, -0.59235304, -0.52477693, -0.45520086, -0.33862306]","[-3.7e-05, 8.4e-05, 0.013573, -1e-06, -6e-06, -0.011659]",-1,259.7
imidogen,-54.98637548,12,0.6421117,"[-15.63844743, -1.17321957, -0.58673303, -0.54712107, -0.54712097]","[-2.8e-05, 1.9e-05, -0.012065, -1e-06, 0.0, 0.013054]",-1,51.1
methyl_formate,-227.89598425,12,0.8019593,"[-20.61449764, -20.5566425, -11.38787379, -11.29221212, -1.4642121, -1.36514748, -0.98899317, -0.82262906, -0.73779255, -0.68004595, -0.67569722, -0.59528889, -0.5530895, -0.54080354, -0.4715845, -0.46680526]","[-0.001317, 0.038586, 6e-06, -0.000231, -0.007378, 2e-06, -0.027347, -0.06539, 8e-06, 0.026552, 0.028259, -1e-06, -0.002643, 0.011101, 0.0, 0.006884, 0.003972, 0.0, -0.001525, -0.005618, 0.00692, -0.001523, -0.00562, -0.00692]",-1,129.7
hypochlorite,-534.31908551,18,0.3168949,"[-104.91738523, -20.69665255, -10.6381079, -8.10683963, -8.10317225, -8.10236927, -1.48408708, -1.06456535, -0.7420906, -0.67053304, -0.66896313, -0.49013023, -0.45667493]","[1e-05, -1.9e-05, 0.005769, 0.000132, -7.4e-05, -0.00884]",-1,291.8
