,Energy,Iterations,Dipole Moment,Eigens,Derivatives,Derivative Time,Wall Time
bicyclo[3.1.0]hexane,-232.54070995,13,0.08003418,"[-9.78383064, -9.78367069, -9.77534451, -9.77508378, -9.77506015, -9.7747504, -0.80428319, -0.68841816, -0.6356546, -0.55619127, -0.4947629, -0.48526023, -0.46481051, -0.41732829, -0.39199973, -0.36391391, -0.34920233, -0.31366883, -0.30125258, -0.29534421, -0.28959123, -0.24739224, -0.23542984]","[0.010919, 0.011422, 0.0, 0.015084, -0.007842, -0.0, -0.003627, 0.006373, 0.013777, -0.003627, 0.006373, -0.013777, -0.009647, -0.007791, 0.009511, -0.009647, -0.007791, -0.009511, -0.00022, 0.007085, -0.0, -0.00657, -0.004068, -0.0, -0.006953, 0.000997, 0.0, 0.000741, -0.00616, -0.0, -0.003543, -0.000592, -0.005424, -0.003543, -0.000592, 0.005424, 0.005774, -0.002697, 0.001784, 0.005774, -0.002697, -0.001784, 0.004576, 0.00405, -0.00369, 0.004576, 0.00405, 0.00369]",-1,144.1
phosphine,-341.8719025,10,0.2559795,"[-75.99029343, -6.2677971, -4.51532712, -4.51532662, -4.51110591, -0.58845875, -0.34669454, -0.34669041, -0.24882784]","[-4.6e-05, 0.000796, -0.00749, 0.001811, -0.0, 0.002869, -0.000909, -0.001582, 0.00288, -0.000909, 0.001582, 0.00288]",-1,31.2
beryllium_sulfide,-411.3568303,14,1.996589,"[-87.67947185, -7.59587837, -5.64784298, -5.64573303, -5.6457328, -3.86968965, -0.5858097, -0.2782628, -0.21956354, -0.21956352]","[-1e-06, 0.0, -0.002761, 6.6e-05, -1.2e-05, 0.001234]",-1,48.9
lithium_oxide,-82.03459182,11,2.50841,"[-18.55028609, -1.83429464, -0.73750794, -0.24787162, -0.20444352, -0.19337043]","[-1.1e-05, 1.4e-05, -0.00399, -1e-06, -0.0, 0.003079]",-1,31.4
carbon_monoxide,-112.47818038,10,0.08941926,"[-18.71873123, -9.90720459, -1.07534975, -0.52164127, -0.44550608, -0.44550608, -0.33515314]","[0.0, 0.0, -0.001661, 0.0, 0.0, 0.00645]",-1,22.6
magnesium_oxide,-273.80890274,15,2.841383,"[-46.00281803, -18.52517365, -2.93769335, -1.75260243, -1.75260221, -1.75154572, -0.71096353, -0.23069201, -0.18207989, -0.18207989]","[4.7e-05, -5.5e-05, -0.015588, -4e-06, 8e-06, 0.011432]",-1,62.7
aluminum_nitride,-295.59110214,16,1.19484,"[-55.15388948, -13.89959684, -3.93665683, -2.56840087, -2.56509458, -2.56424563, -0.67687707, -0.3239918, -0.27159126, -0.23337312, -0.22872174]","[-2e-05, -7.8e-05, -0.005416, -6e-06, -7e-06, 0.00883]",-1,93.2
imidogen,-54.76742822,11,0.6020747,"[-13.95285121, -0.76409382, -0.36460939, -0.29312483, -0.29312482]","[-5e-06, 1.5e-05, 0.010891, -1e-06, 1e-06, -0.01281]",-1,23.2
methyl_formate,-227.3867335,12,0.7566316,"[-18.67436427, -18.61196261, -9.91156624, -9.84225691, -1.02375621, -0.93882037, -0.68059011, -0.54543101, -0.49004809, -0.44848484, -0.43333884, -0.38543612, -0.36613851, -0.33096225, -0.2863565, -0.25407049]","[-0.005599, 0.022416, 2e-06, 0.008099, -0.01342, 1e-06, -0.011422, -0.020794, 1e-05, 0.007461, 0.011617, 1.2e-05, 0.003647, -0.005962, 0.0, -0.005123, -0.001366, 0.0, 0.001672, 0.003183, -0.004179, 0.001672, 0.003183, 0.004179]",-1,62.2
hypochlorite,-533.36896843,16,0.5740059,"[-100.41860992, -18.6990271, -9.23456732, -7.09412884, -7.08822614, -7.07883408, -1.01003147, -0.72266074, -0.45631478, -0.43376674, -0.404758, -0.28338061, -0.2492984]","[0.0, -1.5e-05, -0.012373, 0.000344, -0.000198, 0.015768]",-1,124.6
methanol,-114.85015,11,0.6502434,"[-18.60694462, -9.8218675, -0.9302287, -0.61797726, -0.46289087, -0.39520186, -0.38779438, -0.29463822, -0.23407411]","[0.019524, 0.005813, -3e-06, -0.016102, -0.016726, -7e-06, 0.003495, -0.002241, -0.0, -0.005239, 0.001261, -0.003787, -0.005239, 0.001261, 0.003787, 0.004062, 0.0121, 0.0]",-1,31.7
vinyl_fluoride,-176.54917638,13,0.5129491,"[-24.10873799, -9.87140968, -9.789303, -1.12312526, -0.6994334, -0.55663642, -0.48479726, -0.43876176, -0.41614114, -0.37066264, -0.33083722, -0.24663468]","[0.003522, -0.019146, -0.0, -0.0215, 0.006401, 0.0, 0.007255, 0.003058, 9e-06, 0.002972, 0.008343, 0.0, 0.00147, -0.002912, -0.0, 0.006401, 0.004844, -0.0]",-1,56.1
