,Energy,Iterations,Dipole Moment,Eigens,Derivatives,Derivative Time,Wall Time
bicyclo[3.1.0]hexane,-234.44822025,12,0.0757575,"[-10.22198465, -10.22168891, -10.21485057, -10.21481467, -10.21446847, -10.21407259, -0.90586147, -0.78187844, -0.72620375, -0.63747106, -0.56907747, -0.55929239, -0.5260441, -0.4759031, -0.44717621, -0.41883211, -0.40432132, -0.36298241, -0.34776026, -0.3459803, -0.33795219, -0.28937513, -0.27701918]","[0.003502, 0.002228, -0.0, 0.006102, -0.002167, 1e-06, -0.001247, 0.001457, 0.003064, -0.001248, 0.001457, -0.003064, -0.003526, -0.001138, 0.005104, -0.003528, -0.001138, -0.005104, -0.000272, 0.001056, -0.0, -0.000875, 1.7e-05, 0.0, -0.000926, -0.000478, 0.0, -0.000228, -0.000562, -0.0, 2.9e-05, -0.000318, -0.000899, 2.9e-05, -0.000318, 0.000899, 0.000569, -0.00045, 0.000733, 0.000569, -0.00045, -0.000733, 0.000556, 0.000419, -0.000651, 0.000556, 0.000419, 0.000651]",-1,369.3
phosphine,-343.02885719,10,0.2507087,"[-77.20463688, -6.60599131, -4.74144868, -4.74144815, -4.73788537, -0.66267412, -0.39649996, -0.39649585, -0.28952011]","[0.000941, -7.6e-05, 0.005065, -0.001034, -0.0, -0.000442, 0.000512, 0.000881, -0.000434, 0.000512, -0.000881, -0.000434]",-1,77.5
beryllium_sulfide,-412.75243286,14,2.164581,"[-88.97301201, -7.95379117, -5.88776626, -5.88601543, -5.88601528, -4.13692399, -0.66028121, -0.31680181, -0.25261966, -0.25261964]","[-0.0, -0.0, -0.003885, 2.2e-05, -2.3e-05, 0.003034]",-1,132.4
lithium_oxide,-82.61971759,11,2.568827,"[-19.13684803, -2.01212619, -0.85683676, -0.30908104, -0.25978768, -0.24453735]","[-1e-06, 5e-06, -0.001223, -0.0, 0.0, 0.001051]",-1,116.5
carbon_monoxide,-113.23799562,9,0.03864714,"[-19.31435691, -10.34454326, -1.19738152, -0.59954372, -0.49593141, -0.49593141, -0.39508568]","[0.0, 0.0, -0.009885, 0.0, -0.0, 0.012159]",-1,47.4
magnesium_oxide,-275.07196741,15,3.048808,"[-46.93818288, -19.11080488, -3.17447753, -1.89705592, -1.89705574, -1.8949478, -0.8134456, -0.25268113, -0.22351766, -0.22351765]","[7.8e-05, 4.3e-05, -0.012468, 2.5e-05, -8e-06, 0.009555]",-1,109.0
aluminum_nitride,-296.89995803,17,1.102206,"[-56.17979113, -14.41780887, -4.20729074, -2.73805301, -2.73600298, -2.73492858, -0.78982564, -0.38429515, -0.32978249, -0.28265832, -0.2662989]","[0.000155, 6.6e-05, -0.00914, -7e-06, -2e-06, 0.005358]",-1,294.1
imidogen,-55.18367203,11,0.5936526,"[-14.46830498, -0.87651062, -0.42672647, -0.35844354, -0.35844331]","[-6e-06, 4e-06, 0.004416, -1e-06, 2e-06, -0.003557]",-1,83.0
methyl_formate,-228.91948696,13,0.7576865,"[-19.2693402, -19.20779819, -10.35893049, -10.28424387, -1.1441337, -1.05564067, -0.76566287, -0.62249373, -0.55536927, -0.50778959, -0.50036326, -0.44281882, -0.41670653, -0.38823197, -0.33377407, -0.3085717]","[-0.000701, 0.023155, 1e-06, 0.002032, -0.006456, 2e-06, -0.012768, -0.029509, 3e-06, 0.010388, 0.012077, -9e-06, 0.000362, 0.000928, 0.0, 0.000633, 0.001123, 0.0, -8.4e-05, -0.000723, 0.001017, -8.3e-05, -0.000723, -0.001017]",-1,213.7
hypochlorite,-535.14296298,15,0.5097843,"[-101.80064254, -19.30972702, -9.62107135, -7.35569292, -7.35254954, -7.34388576, -1.13308521, -0.82003633, -0.51222161, -0.50541574, -0.46986417, -0.34473326, -0.30793752]","[-4e-06, 4e-06, -0.005836, 0.000197, -0.000213, 0.022142]",-1,377.6
methanol,-115.64809914,10,0.6544904,"[-19.20502037, -10.26457543, -1.04757245, -0.7045272, -0.52375012, -0.45574593, -0.44459934, -0.35258619, -0.29229537]","[0.011646, 0.006973, -1e-06, -0.00857, -0.00583, -2.1e-05, 0.006516, 0.003219, -0.0, -0.00335, -0.001777, 0.001269, -0.003349, -0.001777, -0.001269, -0.001745, 0.000601, -0.0]",-1,66.7
vinyl_fluoride,-177.71787546,13,0.5401922,"[-24.7813157, -10.31458591, -10.23035378, -1.2593981, -0.79779801, -0.63454017, -0.55000469, -0.50304301, -0.48369117, -0.42927188, -0.39500791, -0.28516071]","[0.004504, -0.011908, 1e-06, -0.017282, 0.003937, -2e-06, 0.0057, 0.002521, 8e-06, 0.004847, 0.001003, -0.0, 0.002031, 0.003827, -0.0, 0.000772, 0.001447, 0.0]",-1,149.5
formaldehyde,-114.42698879,11,0.9433027,"[-19.22852606, -10.32702641, -1.09559165, -0.6587913, -0.51650966, -0.47456024, -0.42203636, -0.28971291]","[-2.1e-05, -2.6e-05, 0.019255, -1e-05, -7e-06, -0.013147, -0.0, 0.002137, -0.001705, -0.0, -0.002137, -0.001705]",-1,63.7
sulfur_diatomic,-796.14401912,12,4.213061e-06,"[-89.07727147, -89.07726738, -8.05645239, -8.05623457, -5.99155774, -5.99155736, -5.99149324, -5.99149286, -5.98972173, -5.98885297, -0.86551383, -0.65385981, -0.41804498, -0.39665845, -0.39665842, -0.2600923, -0.26009227]","[-0.00031, 0.000466, -0.011381, -0.000104, -0.001093, 0.01133]",-1,466.3
