name,predicted y,true y,abs error,rel error
methanol,-0.7886578,-0.79794914,0.009291351,0.011644039
beryllium_monofluoride,-0.68474704,-0.6908408,0.0060937405,0.00882076
phosphorus_tribromide,-1.7354742,-1.668961,0.06651318,0.039853044
methanethiol_radical,-2.463213,-2.9318223,0.46860933,0.15983552
cyano_radical,-1.0470697,-1.0525415,0.0054718256,0.0051986794
dimethyl_ether,-3.480864,-3.0746264,0.4062376,0.13212584
aluminum_trichloride,-1.3713362,-1.438742,0.06740582,0.046850525
phosphorus_trichloride,-1.5353248,-1.6125808,0.077255964,0.047908276
ethylene,-0.5368378,-0.4743731,0.062464714,0.13167845
pentane,-0.63520384,-0.67173576,0.036531925,0.05438437
isopropyl_alcohol,-4.576627,-5.074177,0.49755,0.09805532
glyoxal_trans,-0.66509014,-0.7192913,0.054201186,0.07535359
oxygen_monofluoride,-0.32801032,-0.23940559,0.08860473,0.37010303
acetamide,-0.68283397,-0.6822562,0.0005777478,0.0008468194
monosodium_sulfide,-1.1394969,-1.1188079,0.02068901,0.018492013
hydrogen_cyanide,-4.4988217,-4.89845,0.39962816,0.081582576
pyridine,-0.34017283,-0.21544072,0.12473211,0.57896256
ethylamine,-1.8551025,-1.9638656,0.1087631,0.055382147
boron_trifluoride,-0.8937009,-0.95251924,0.05881834,0.061750293
pyrrole,-1.2088629,-1.0548779,0.15398502,0.14597426
cyclopentane,-1.6239921,-1.9152862,0.2912941,0.15208907
trifluoroacetic_acid,-1.6117038,-1.5653359,0.046367884,0.029621683
nitric_oxide,-1.3389056,-1.4664245,0.12751889,0.08695906
sulfur_monoxide,-0.4497335,-0.3569649,0.09276861,0.25988162
beryllium_monochloride,-0.69593036,-0.85329396,0.1573636,0.18441898
allene,-4.327557,-4.3623357,0.034778595,0.007972471
methane,-1.2987224,-1.4673803,0.1686579,0.114938095
sulfur_hexafluoride,-1.0023984,-1.6451893,0.6427909,0.3907094
nonane,-0.67456734,-0.655875,0.018692315,0.028499812
sodium_lithium,-1.7765346,-1.8348596,0.058325052,0.0317872
silicon_monoxide,-1.1127595,-0.6766137,0.43614578,0.64460087
phosphorus_mononitride,-1.6085879,-1.515031,0.09355688,0.061752453
formic_acid,-10.573343,-10.788043,0.21469975,0.019901639
beryllium_dihydride,-1.2619056,-1.2504039,0.01150167,0.009198364
water,-1.4872944,-1.4635166,0.023777843,0.01624706
oxygen_diatomic,-0.8481041,-0.82925224,0.018851876,0.022733584
octane,-1.5142056,-1.4858009,0.028404713,0.019117443
dilithium_oxide,-1.1206747,-1.6150858,0.4944111,0.30612063
nitrogen_dioxide,-0.97156376,-0.99036634,0.018802583,0.018985484
sodium_diatomic,-0.9293307,-0.90275496,0.026575744,0.029438492
lithium_diatomic,-0.89673233,-0.95012754,0.05339521,0.05619794
acetyl_fluoride,-1.6305561,-1.6095264,0.02102971,0.013065776
propyne,-2.8635108,-2.610244,0.2532668,0.09702802
ethyl_radical,-1.4864188,-1.5121139,0.025695086,0.016992824
silylene_s,-1.2638127,-1.2108301,0.05298257,0.04375723
