name,predicted y,true y,abs error,rel error
methanol,-0.82221854,-0.79794914,0.024269402,0.030414723
beryllium_monofluoride,-0.6797038,-0.6908408,0.011137009,0.016120948
phosphorus_tribromide,-1.7375702,-1.668961,0.06860912,0.04110888
methanethiol_radical,-2.862629,-2.9318223,0.06919336,0.023600804
cyano_radical,-1.0647833,-1.0525415,0.01224184,0.011630744
dimethyl_ether,-3.052216,-3.0746264,0.022410393,0.0072888182
aluminum_trichloride,-1.3667988,-1.438742,0.07194328,0.050004296
phosphorus_trichloride,-1.4823546,-1.6125808,0.13022614,0.08075635
ethylene,-0.5288122,-0.4743731,0.054439127,0.114760146
pentane,-0.6413616,-0.67173576,0.03037417,0.045217436
isopropyl_alcohol,-4.941698,-5.074177,0.13247871,0.026108416
glyoxal_trans,-0.66043144,-0.7192913,0.058859885,0.08183038
oxygen_monofluoride,-0.29259875,-0.23940559,0.053193167,0.22218849
acetamide,-0.6784127,-0.6822562,0.003843546,0.0056335814
monosodium_sulfide,-1.1588546,-1.1188079,0.040046692,0.03579407
hydrogen_cyanide,-4.5891337,-4.89845,0.30931616,0.06314572
pyridine,-0.31316614,-0.21544072,0.09772542,0.45360702
ethylamine,-1.888687,-1.9638656,0.07517862,0.03828094
boron_trifluoride,-0.8486231,-0.95251924,0.10389614,0.109075114
pyrrole,-1.0634212,-1.0548779,0.008543372,0.008098921
cyclopentane,-1.6879255,-1.9152862,0.22736073,0.118708484
trifluoroacetic_acid,-1.6509457,-1.5653359,0.08560979,0.054691005
nitric_oxide,-1.4356289,-1.4664245,0.030795574,0.02100045
sulfur_monoxide,-0.45398113,-0.3569649,0.097016245,0.2717809
beryllium_monochloride,-0.6838446,-0.85329396,0.16944933,0.19858259
allene,-4.386206,-4.3623357,0.023870468,0.0054719467
methane,-1.2435158,-1.4673803,0.22386444,0.1525606
sulfur_hexafluoride,-1.3835038,-1.6451893,0.2616855,0.15906103
nonane,-0.66985786,-0.655875,0.013982832,0.021319354
sodium_lithium,-1.7862955,-1.8348596,0.048564076,0.026467461
silicon_monoxide,-1.0461179,-0.6766137,0.3695042,0.54610807
phosphorus_mononitride,-1.2789257,-1.515031,0.23610532,0.15584192
formic_acid,-10.880285,-10.788043,0.09224224,0.008550415
beryllium_dihydride,-1.3222715,-1.2504039,0.071867585,0.057475496
water,-1.483077,-1.4635166,0.019560456,0.0133653805
oxygen_diatomic,-0.85174894,-0.82925224,0.0224967,0.0271289
octane,-1.541234,-1.4858009,0.055433154,0.037308604
dilithium_oxide,-1.2242509,-1.6150858,0.39083493,0.2419902
nitrogen_dioxide,-0.9786508,-0.99036634,0.011715531,0.011829493
sodium_diatomic,-0.923383,-0.90275496,0.020628035,0.022850093
lithium_diatomic,-0.9160499,-0.95012754,0.034077644,0.03586639
acetyl_fluoride,-1.7520908,-1.6095264,0.14256442,0.088575386
propyne,-2.5522738,-2.610244,0.057970285,0.022208761
ethyl_radical,-1.5270575,-1.5121139,0.0149436,0.009882589
silylene_s,-1.2532095,-1.2108301,0.04237938,0.03500027
